date;yield;growth
2022-09-30 00:00:00;0,25;0,01
2022-10-01 00:00:00;0,41;0,01
2022-10-02 00:00:00;0,62;0,02
2022-10-03 00:00:00;0,90;0,03
2022-10-04 00:00:00;1,27;0,03
2022-10-05 00:00:00;1,75;0,04
2022-10-06 00:00:00;2,40;0,06
2022-10-07 00:00:00;3,24;0,08
2022-10-08 00:00:00;4,36;0,10
2022-10-09 00:00:00;5,84;0,13
2022-10-10 00:00:00;7,79;0,18
2022-10-11 00:00:00;10,37;0,23
2022-10-12 00:00:00;13,77;0,31
2022-10-13 00:00:00;18,25;0,41
2022-10-14 00:00:00;24,17;0,54
2022-10-15 00:00:00;31,97;0,71
2022-10-16 00:00:00;42,24;0,93
2022-10-17 00:00:00;55,75;1,23
2022-10-18 00:00:00;73,49;1,61
2022-10-19 00:00:00;96,75;2,11
2022-10-20 00:00:00;127,15;2,76
2022-10-21 00:00:00;166,74;3,60
2022-10-22 00:00:00;218,05;4,66
2022-10-23 00:00:00;284,13;6,01
2022-10-24 00:00:00;368,49;7,67
2022-10-25 00:00:00;475,05;9,69
2022-10-26 00:00:00;607,72;12,06
2022-10-27 00:00:00;769,98;14,75
2022-10-28 00:00:00;964,05;17,64
2022-10-29 00:00:00;1189,92;20,53
2022-10-30 00:00:00;1444,50;23,14
2022-10-31 00:00:00;1721,11;25,15
2022-11-01 00:00:00;1951,86;20,98
2022-11-02 00:00:00;2171,83;20,00
2022-11-03 00:00:00;2341,60;15,43
2022-11-04 00:00:00;2443,50;9,26
2022-11-05 00:00:00;2510,04;6,05
2022-11-06 00:00:00;2542,61;2,96
2022-11-07 00:00:00;2564,80;2,02
2022-11-08 00:00:00;2581,90;1,55
2022-11-09 00:00:00;2594,91;1,18
2022-11-10 00:00:00;2602,93;0,73
2022-11-11 00:00:00;2608,58;0,51
2022-11-12 00:00:00;2612,92;0,39
2022-11-13 00:00:00;2615,58;0,24
2022-11-14 00:00:00;2617,58;0,18
2022-11-15 00:00:00;2619,08;0,14
2022-11-16 00:00:00;2620,21;0,10
2022-11-17 00:00:00;2621,04;0,08
2022-11-18 00:00:00;2621,67;0,06
2022-11-19 00:00:00;2622,13;0,04
2022-11-20 00:00:00;2622,47;0,03
2022-11-21 00:00:00;2622,73;0,02
2022-09-30 00:00:00;0,25;0,01
2022-10-01 00:00:00;0,41;0,01
2022-10-02 00:00:00;0,62;0,02
2022-10-03 00:00:00;0,90;0,03
2022-10-04 00:00:00;1,27;0,03
2022-10-05 00:00:00;1,75;0,04
2022-10-06 00:00:00;2,40;0,06
2022-10-07 00:00:00;3,24;0,08
2022-10-08 00:00:00;4,36;0,10
2022-10-09 00:00:00;5,84;0,13
2022-10-10 00:00:00;7,79;0,18
2022-10-11 00:00:00;10,37;0,23
2022-10-12 00:00:00;13,77;0,31
2022-10-13 00:00:00;18,25;0,41
2022-10-14 00:00:00;24,17;0,54
2022-10-15 00:00:00;31,97;0,71
2022-10-16 00:00:00;42,24;0,93
2022-10-17 00:00:00;55,75;1,23
2022-10-18 00:00:00;73,49;1,61
2022-10-19 00:00:00;96,75;2,11
2022-10-20 00:00:00;127,15;2,76
2022-10-21 00:00:00;166,74;3,60
2022-10-22 00:00:00;218,05;4,66
2022-10-23 00:00:00;284,13;6,01
2022-10-24 00:00:00;368,49;7,67
2022-10-25 00:00:00;475,05;9,69
2022-10-26 00:00:00;607,72;12,06
2022-10-27 00:00:00;769,98;14,75
2022-10-28 00:00:00;964,05;17,64
2022-10-29 00:00:00;1189,92;20,53
2022-10-30 00:00:00;1444,50;23,14
2022-10-31 00:00:00;1721,11;25,15
2022-11-01 00:00:00;1951,86;20,98
2022-11-02 00:00:00;2171,83;20,00
2022-11-03 00:00:00;2341,60;15,43
2022-11-04 00:00:00;2442,67;9,19
2022-11-05 00:00:00;2503,36;5,52
2022-11-06 00:00:00;2535,65;2,94
2022-11-07 00:00:00;2558,16;2,05
2022-11-08 00:00:00;2576,10;1,63
2022-11-09 00:00:00;2589,45;1,21
2022-11-10 00:00:00;2597,67;0,75
2022-11-11 00:00:00;2603,32;0,51
2022-11-12 00:00:00;2607,14;0,35
2022-11-13 00:00:00;2609,79;0,24
2022-11-14 00:00:00;2611,80;0,18
2022-11-15 00:00:00;2613,30;0,14
2022-11-16 00:00:00;2614,42;0,10
